ID,URL,Brand,Variety,Style,Country,Stars
A29,https://amazon.com/NongShim-Shin-Black-Noodle-Spicy/dp/B017IRZLKQ/ref=sr_1_35?dchild=1&keywords=instant+ramen&qid=1607155731&sr=8-35,Nongshim,Shin Black Noodle Soup,Pack,South Korea,4.7
A30,https://amazon.com/Menraku-Tonkotsu-Ramen-2-9-Ounce-Pack/dp/B004HVEEW8/ref=sr_1_36?dchild=1&keywords=instant+ramen&qid=1607155731&sr=8-36,Menraku,Tonkotsu Ramen,Cup,Japan,4.6
A31,https://amazon.com/NongShim-Soon-Noodle-Veggie-Ounce/dp/B00PYS5F3A/ref=sr_1_41?dchild=1&keywords=instant+ramen&qid=1607155731&sr=8-41,Nongshim,"Soon Noodle Soup, Veggie",Pack,South Korea,4.7
A32,https://amazon.com/Oriental-Style-Beef-Noodle-packages/dp/B008GMRFPM/ref=sr_1_43?dchild=1&keywords=instant+ramen&qid=1607155731&sr=8-43,Kung-Fu,Oriental Style Beef Noodle,Pack,Taiwan,4.7
A33,https://amazon.com/Annie-Chuns-Non-GMO-Shelf-Stable-Japanese-Style/dp/B085HLMFZQ/ref=sr_1_44?dchild=1&keywords=instant+ramen&qid=1607155731&sr=8-44,Annie Chun's,Spicy Miso Ramen Noodle Bowl ,Bowl,United States,3.9
A34,https://amazon.com/Instant-Tokyo-Noodles-Chicken-Flavor/dp/B01DFUVT6K/ref=sr_1_45?dchild=1&keywords=instant+ramen&qid=1607155731&sr=8-45,Tokyo Noodle,"Mini Instant Tokyo Noodles, Chicken Flavor",Pack,Japan,4.3
A35,https://amazon.com/Mikes-Mighty-Good-Ramen-Vegetable/dp/B07DZYJHTV/ref=sr_1_47_0o_wf?dchild=1&keywords=instant+ramen&qid=1607155731&sr=8-47,Mike's Mighty Good,"Ramen Soup, Vegetable",Cup,United States,4.2
A36,https://amazon.com/Mikes-Mighty-Good-Spicy-Organic/dp/B07FYWKCSD/ref=sr_1_48_0o_wf?dchild=1&keywords=instant+ramen&qid=1607155731&sr=8-48,Mike's Mighty Good,Spicy Beef Ramen Cup,Cup,United States,3.9
A37,https://amazon.com/Ramen-Instant-Noodles-Green-Flavor/dp/B00YZPD0OE/ref=sr_1_49?dchild=1&keywords=instant+ramen&qid=1607155731&sr=8-49,MAMA,Instant Noodles Green Curry Flavor,Pack,Thailand,4.5
A38,https://amazon.com/Elixir-Curated-Bibimmen-Jjajangmen-Stirfried/dp/B086VVR9ZK/ref=sr_1_52?dchild=1&keywords=instant+ramen&qid=1607155731&sr=8-52,Paldo,Curated K-Foods Korean Hit Noodle Ramen Variety Pack,Pack,South Korea,4.4
A39,https://amazon.com/Prima-Taste-Laksa-Mian-185g/dp/B00B5NOQ74/ref=sr_1_53?dchild=1&keywords=instant+ramen&qid=1607155731&sr=8-53,Prima Taste,Laksa La Mian,Pack,Singapore,4.4
A40,https://amazon.com/Variety-Nongshim-Party-Time-Package/dp/B01IQXKAZ2/ref=sr_1_54?dchild=1&keywords=instant+ramen&qid=1607155731&sr=8-54,Nongshim,Nongshim Party Time 10 packs Mix,Pack,South Korea,4.5
A41,https://amazon.com/Asha-Healthy-Noodles-individual-Original/dp/B079YX6GSY/ref=sr_1_55?dchild=1&keywords=instant+ramen&qid=1607155731&sr=8-55,Asha,Healthy Ramen Noodles,Pack,United States,4.2
A42,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A004642911LRZN5H60SXN&url=%2FOne-Culture-Foods-Instant-Japanese%2Fdp%2FB07D74TS52%2Fref%3Dsr_1_56_sspa%3Fdchild%3D1%26keywords%3Dinstant%2Bramen%26qid%3D1607155731%26sr%3D8-56-spons%26psc%3D1&qualifier=1607155731&id=5579779478771567&widgetName=sp_btf,One Culture Foods,"Bone Broth Instant Cup Noodles, Japanese Spicy Ramen",Cup,United States,4.2
A43,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A05232592O11TP0EQALT9&url=%2FNissin-Ramen-Noodle-Seafood-Ounce%2Fdp%2FB076N7Z34C%2Fref%3Dsr_1_57_sspa%3Fdchild%3D1%26keywords%3Dinstant%2Bramen%26qid%3D1607155731%26sr%3D8-57-spons%26psc%3D1&qualifier=1607155731&id=5579779478771567&widgetName=sp_btf,Nissin,"Cup Ramen Noodle Soup, Seafood",Pack,United States,4.5
A44,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A08930031OG194WEOZXEJ&url=%2FSapporo-Ichiban-Variety-Flavors-Tonkotsu%2Fdp%2FB088YL1GX8%2Fref%3Dsr_1_60_sspa%3Fdchild%3D1%26keywords%3Dinstant%2Bramen%26qid%3D1607155731%26sr%3D8-60-spons%26psc%3D1&qualifier=1607155731&id=5579779478771567&widgetName=sp_btf,Sapporo Ichiban,Variety Flavors Mix Packs Instant Ramen Noodles,Pack,United States,4.6
