url,description,price,rating,review_count
https://amazon.com/NongShim-Ramyun-Noodle-Gourmet-Spicy/dp/B00778B90S/ref=sr_1_19?dchild=1&keywords=instant+ramen&qid=1607228195&sr=8-19,"Nongshim Shin Ramyun Noodle Soup, Gourmet Spicy, 4.2 Ounce (Pack of 20)",$31.29,4.7,5807
https://amazon.com/Samyang-Ramen-Chicken-Roasted-Noodles/dp/B00ZGCUJ6M/ref=sr_1_20?dchild=1&keywords=instant+ramen&qid=1607228195&sr=8-20,"Samyang Instant Ramen Noodles, Halal Certified, Spicy Stir-Fried Chicken Flavor (Pack of 10)",$16.95,4.6,2558
https://amazon.com/Nissin-Raoh-Tonkotsu-3-53-Ounce/dp/B079T2XXBM/ref=sr_1_21?dchild=1&keywords=instant+ramen&qid=1607228195&sr=8-21,"Nissin RAOH, Tonkotsu Flavor, Authentic Japanese-Style Ramen, 3.53 Ounce (Pack of 6)",$23.95,4.6,1590
https://amazon.com/MAMA-Instant-Noodle-Shrimp-Flavour/dp/B081SMW7Q9/ref=sr_1_22?dchild=1&keywords=instant+ramen&qid=1607228195&sr=8-22,"MAMA Instant Ramen Noodle, Tom Yum Shrimp Flavor Pack Of 10",$9.80,4.6,1912
https://amazon.com/Indomie-Instant-Noodles-Certified-Original/dp/B000VQDABY/ref=sr_1_23?dchild=1&keywords=instant+ramen&qid=1607228195&sr=8-23,"Indomie Mi Goreng Instant Stir Fry Noodles, Halal Certified, Original Flavor (Pack of 10)",$8.99,4.7,1034
https://amazon.com/Nissin-Ramen-Noodle-Seafood-Ounce/dp/B076N7Z34C/ref=sr_1_24?dchild=1&keywords=instant+ramen&qid=1607228195&sr=8-24,"Nissin Cup Ramen Noodle Soup, Seafood, 2.68 Ounce (Pack of 6)",$13.99,4.5,1657
https://amazon.com/Nissin-Ramen-Noodles-Tonkotsu-Instant/dp/B079R9LTBR/ref=sr_1_25?dchild=1&keywords=instant+ramen&qid=1607228195&sr=8-25,Nissin Ramen Noodles Soup Nissin Demae Tonkotsu Pork Instant Ramen Noodles 7 Packs Free Fork (Tonkotsu Pork),$9.36,4.4,141
https://amazon.com/Sapporo-Ichiban-Noodle-Instant-Original/dp/B08937MJRR/ref=sr_1_26?dchild=1&keywords=instant+ramen&qid=1607228195&sr=8-26,"Sapporo Ichiban Noodle Ramen Instant Bag, Original, 3.5 Ounce (Pack of 30)",$34.95,4.6,74
https://amazon.com/Mikes-Mighty-Good-Tonkotsu-Organic/dp/B07FYQX6RG/ref=sr_1_27?dchild=1&keywords=instant+ramen&qid=1607228195&sr=8-27,"MIKES MIGHTY GOOD Organic Pork Tonkotsu Ramen Cup, 1.7 OZ",$7.19,4.2,251
https://amazon.com/Menraku-Tonkotsu-Ramen-2-9-Ounce-Pack/dp/B004HVEEW8/ref=sr_1_28?dchild=1&keywords=instant+ramen&qid=1607228195&sr=8-28,"Menraku Tonkotsu Ramen, 2.9-Ounce (Pack of 12)",$29.59,4.6,158
https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0602619326DUNEONXVPN&url=%2FSapporo-Ichiban-Chicken-Momosan-Morimoto%2Fdp%2FB08FHVSG5R%2Fref%3Dsr_1_31_sspa%3Fdchild%3D1%26keywords%3Dinstant%2Bramen%26qid%3D1607228195%26sr%3D8-31-spons%26psc%3D1&qualifier=1607228195&id=2338962289138518&widgetName=sp_mtf,"Sapporo Ichiban Tokyo Chicken Momosan Ramen by Iron Chef Morimoto , 3.44 Ounce (Pack of 30)",$53.99,4.5,206
https://amazon.com/NongShim-Shin-Black-Noodle-Spicy/dp/B017IRZLKQ/ref=sr_1_33?dchild=1&keywords=instant+ramen&qid=1607228195&sr=8-33,"Nongshim Shin Black Noodle Soup, Spicy, 4.58 Ounce (Pack of 10)",$28.27,4.7,1036
https://amazon.com/Mikes-Mighty-Good-Ramen-Chicken/dp/B07DZXJ1CF/ref=sr_1_34_0o_wf?dchild=1&keywords=instant+ramen&qid=1607228195&sr=8-34,"Mike's Mighty Good Ramen Soup, Chicken, 1.6 Oz",$1.52,4.0,825
https://amazon.com/Sapporo-Ichiban-Noodle-Instant-Original/dp/B004AH778M/ref=sr_1_35?dchild=1&keywords=instant+ramen&qid=1607228195&sr=8-35,"Sapporo Ichiban Noodle Instant Bag, Original, 3.5 Ounce (Pack of 24)",$27.66,4.8,974
https://amazon.com/NongShim-Soon-Noodle-Veggie-Ounce/dp/B00PYS5F3A/ref=sr_1_40?dchild=1&keywords=instant+ramen&qid=1607228195&sr=8-40,"Nongshim Soon Noodle Soup, Veggie, 3.95 Ounce (Pack of 10)",$22.99,4.7,1339
https://amazon.com/Oriental-Style-Beef-Noodle-packages/dp/B008GMRFPM/ref=sr_1_42?dchild=1&keywords=instant+ramen&qid=1607228195&sr=8-42,Oriental Style Beef Noodle(30 packages),$24.08,4.7,139
https://amazon.com/Elixir-Curated-Bibimmen-Jjajangmen-Stirfried/dp/B086VVR9ZK/ref=sr_1_43?dchild=1&keywords=instant+ramen&qid=1607228195&sr=8-43,"The Elixir Curated K-Foods Korean Hit Noodle Ramen Variety Pack with Instant Coffee Mix Pack, Bibimmen, Jjajangmen, Gomtang, Volcano Chicken, Stirfried Kimchi, Seafood Ramen Box",$22.90,4.4,97
